k,method_1,feature_1,method_2,feature_2,same_algorithm,same_feature,diagonal_share,null_mean,null_p95,p_value,chance_corrected,n_electrodes,n_perm,run_1,run_2
10,kmeans,concat_hg,kmeans,concat_rawds,True,False,0.3866995073891626,0.1397506157635468,0.1477832512315271,0.000999000999000999,0.2870666299224435,1624,1000,20260924_014902,20260924_014931
10,kmeans,concat_hg,kmeans,concat_bands5z,True,False,0.44027093596059114,0.13814963054187193,0.14532019704433496,0.000999000999000999,0.3505496036494968,1624,1000,20260924_014902,20260924_015027
10,kmeans,concat_hg,hierarchical,concat_hg,False,True,0.5320197044334976,0.1436502463054187,0.15270935960591134,0.000999000999000999,0.4535173350053786,1624,1000,20260924_014902,20260924_014907
10,kmeans,concat_hg,hierarchical,concat_rawds,False,False,0.35960591133004927,0.14077401477832513,0.14839901477832512,0.000999000999000999,0.2546849144643442,1624,1000,20260924_014902,20260924_014916
10,kmeans,concat_hg,hierarchical,concat_bands5z,False,False,0.44950738916256155,0.14021490147783247,0.1477832512315271,0.000999000999000999,0.359732319409063,1624,1000,20260924_014902,20260924_014937
10,kmeans,concat_hg,cnmf,concat_hg,False,True,0.6428571428571429,0.13761391625615763,0.14532019704433496,0.000999000999000999,0.5858666276334064,1624,1000,20260924_014902,20260924_021756
10,kmeans,concat_hg,cnmf,concat_rawds,False,False,0.4100985221674877,0.1379458128078818,0.14532019704433496,0.000999000999000999,0.3157025549009411,1624,1000,20260924_014902,20260924_022631
10,kmeans,concat_hg,cnmf,concat_bands5z,False,False,0.4125615763546798,0.13671243842364533,0.1434729064039409,0.000999000999000999,0.31953331683284847,1624,1000,20260924_014902,20260924_024006
10,kmeans,concat_rawds,kmeans,concat_bands5z,True,False,0.6533251231527094,0.13838977832512314,0.14532019704433496,0.000999000999000999,0.5976430314703182,1624,1000,20260924_014931,20260924_015027
10,kmeans,concat_rawds,hierarchical,concat_hg,False,False,0.39039408866995073,0.14297413793103447,0.15147783251231528,0.000999000999000999,0.28869601454221483,1624,1000,20260924_014931,20260924_014907
10,kmeans,concat_rawds,hierarchical,concat_rawds,False,True,0.7555418719211823,0.1414039408866995,0.14963054187192118,0.000999000999000999,0.7152815628675522,1624,1000,20260924_014931,20260924_014916
10,kmeans,concat_rawds,hierarchical,concat_bands5z,False,False,0.5732758620689655,0.14067918719211822,0.14839901477832512,0.000999000999000999,0.5034169642223746,1624,1000,20260924_014931,20260924_014937
10,kmeans,concat_rawds,cnmf,concat_hg,False,False,0.38362068965517243,0.13757635467980292,0.14532019704433496,0.000999000999000999,0.2852940504478158,1624,1000,20260924_014931,20260924_021756
10,kmeans,concat_rawds,cnmf,concat_rawds,False,True,0.7327586206896551,0.13782204433497539,0.14532019704433496,0.000999000999000999,0.6900391879026723,1624,1000,20260924_014931,20260924_022631
10,kmeans,concat_rawds,cnmf,concat_bands5z,False,False,0.5511083743842364,0.13714655172413795,0.14411945812807878,0.000999000999000999,0.4797591334742527,1624,1000,20260924_014931,20260924_024006
10,kmeans,concat_bands5z,hierarchical,concat_hg,False,False,0.4630541871921182,0.14076046798029557,0.148429802955665,0.000999000999000999,0.37509181922094303,1624,1000,20260924_015027,20260924_014907
10,kmeans,concat_bands5z,hierarchical,concat_rawds,False,False,0.6145320197044335,0.13947229064039407,0.14655172413793102,0.000999000999000999,0.5520562834839716,1624,1000,20260924_015027,20260924_014916
10,kmeans,concat_bands5z,hierarchical,concat_bands5z,False,True,0.6225369458128078,0.1390979064039409,0.145935960591133,0.000999000999000999,0.5615493829147309,1624,1000,20260924_015027,20260924_014937
10,kmeans,concat_bands5z,cnmf,concat_hg,False,False,0.41933497536945813,0.13646059113300493,0.1440886699507389,0.000999000999000999,0.3275755354438286,1624,1000,20260924_015027,20260924_021756
10,kmeans,concat_bands5z,cnmf,concat_rawds,False,False,0.5695812807881774,0.1368860837438424,0.14411945812807878,0.000999000999000999,0.5013187586190169,1624,1000,20260924_015027,20260924_022631
10,kmeans,concat_bands5z,cnmf,concat_bands5z,False,True,0.7419950738916257,0.13630665024630542,0.1440886699507389,0.000999000999000999,0.7012771648850239,1624,1000,20260924_015027,20260924_024006
10,hierarchical,concat_hg,hierarchical,concat_rawds,True,False,0.40086206896551724,0.1445954433497537,0.15332512315270935,0.000999000999000999,0.2995852940266071,1624,1000,20260924_014907,20260924_014916
10,hierarchical,concat_hg,hierarchical,concat_bands5z,True,False,0.4341133004926108,0.1437161330049261,0.1520935960591133,0.000999000999000999,0.3391365628629266,1624,1000,20260924_014907,20260924_014937
10,hierarchical,concat_hg,cnmf,concat_hg,False,True,0.5227832512315271,0.14204618226600985,0.15086206896551724,0.000999000999000999,0.4437733839463669,1624,1000,20260924_014907,20260924_021756
10,hierarchical,concat_hg,cnmf,concat_rawds,False,False,0.38854679802955666,0.140134236453202,0.1477832512315271,0.000999000999000999,0.2888969093869905,1624,1000,20260924_014907,20260924_022631
10,hierarchical,concat_hg,cnmf,concat_bands5z,False,False,0.4236453201970443,0.1387179802955665,0.14716748768472906,0.000999000999000999,0.3308177035894194,1624,1000,20260924_014907,20260924_024006
10,hierarchical,concat_rawds,hierarchical,concat_bands5z,True,False,0.5775862068965517,0.14209667487684732,0.14963054187192118,0.000999000999000999,0.5076207531392766,1624,1000,20260924_014916,20260924_014937
10,hierarchical,concat_rawds,cnmf,concat_hg,False,False,0.3669950738916256,0.13819273399014775,0.14655172413793102,0.000999000999000999,0.2654913098619224,1624,1000,20260924_014916,20260924_021756
10,hierarchical,concat_rawds,cnmf,concat_rawds,False,True,0.6299261083743842,0.13875677339901477,0.14655172413793102,0.000999000999000999,0.5703026970834206,1624,1000,20260924_014916,20260924_022631
10,hierarchical,concat_rawds,cnmf,concat_bands5z,False,False,0.5283251231527094,0.1378996305418719,0.14532019704433496,0.000999000999000999,0.45287707376374153,1624,1000,20260924_014916,20260924_024006
10,hierarchical,concat_bands5z,cnmf,concat_hg,False,False,0.45073891625615764,0.137814039408867,0.14532019704433496,0.000999000999000999,0.36294360051135915,1624,1000,20260924_014937,20260924_021756
10,hierarchical,concat_bands5z,cnmf,concat_rawds,False,False,0.5584975369458128,0.13820689655172413,0.14532019704433496,0.000999000999000999,0.4876932046826413,1624,1000,20260924_014937,20260924_022631
10,hierarchical,concat_bands5z,cnmf,concat_bands5z,False,True,0.5061576354679803,0.13720197044334975,0.1440886699507389,0.000999000999000999,0.42762692123232926,1624,1000,20260924_014937,20260924_024006
10,cnmf,concat_hg,cnmf,concat_rawds,True,False,0.42549261083743845,0.13626785714285714,0.1440886699507389,0.000999000999000999,0.3348546839276511,1624,1000,20260924_021756,20260924_022631
10,cnmf,concat_hg,cnmf,concat_bands5z,True,False,0.4224137931034483,0.13598830049261082,0.1434729064039409,0.000999000999000999,0.331506497856616,1624,1000,20260924_021756,20260924_024006
10,cnmf,concat_rawds,cnmf,concat_bands5z,True,False,0.5560344827586207,0.1357192118226601,0.14285714285714285,0.000999000999000999,0.4863179613448922,1624,1000,20260924_022631,20260924_024006
